Threshold,TP,FP,TN,FN,TPR,FPR,Sensitivity,Specificity
0,151,1111,0,0,1,1,1,0
1,151,1111,0,0,1,1,1,0
2,151,1111,0,0,1,1,1,0
3,151,1111,0,0,1,1,1,0
4,151,1111,0,0,1,1,1,0
5,151,1111,0,0,1,1,1,0
6,151,1111,0,0,1,1,1,0
7,151,1111,0,0,1,1,1,0
8,151,1111,0,0,1,1,1,0
9,151,1111,0,0,1,1,1,0
10,151,1111,0,0,1,1,1,0
11,151,1111,0,0,1,1,1,0
12,151,1111,0,0,1,1,1,0
13,151,1111,0,0,1,1,1,0
14,151,1111,0,0,1,1,1,0
15,151,1111,0,0,1,1,1,0
16,151,1111,0,0,1,1,1,0
17,151,1111,0,0,1,1,1,0
18,151,1111,0,0,1,1,1,0
19,151,1111,0,0,1,1,1,0
20,151,1111,0,0,1,1,1,0
21,151,1111,0,0,1,1,1,0
22,151,1111,0,0,1,1,1,0
23,151,1111,0,0,1,1,1,0
24,151,1111,0,0,1,1,1,0
25,151,1111,0,0,1,1,1,0
26,151,1111,0,0,1,1,1,0
27,151,1111,0,0,1,1,1,0
28,151,1111,0,0,1,1,1,0
29,151,1111,0,0,1,1,1,0
30,151,1111,0,0,1,1,1,0
31,151,1111,0,0,1,1,1,0
32,151,1111,0,0,1,1,1,0
33,151,1111,0,0,1,1,1,0
34,151,1111,0,0,1,1,1,0
35,151,1111,0,0,1,1,1,0
36,151,1111,0,0,1,1,1,0
37,151,1111,0,0,1,1,1,0
38,151,1111,0,0,1,1,1,0
39,151,1111,0,0,1,1,1,0
40,151,1111,0,0,1,1,1,0
41,151,1111,0,0,1,1,1,0
42,151,1111,0,0,1,1,1,0
43,151,1111,0,0,1,1,1,0
44,151,1111,0,0,1,1,1,0
45,151,1111,0,0,1,1,1,0
46,151,1111,0,0,1,1,1,0
47,151,1111,0,0,1,1,1,0
48,151,1111,0,0,1,1,1,0
49,151,1111,0,0,1,1,1,0
50,151,1111,0,0,1,1,1,0
51,151,1111,0,0,1,1,1,0
52,151,1111,0,0,1,1,1,0
53,151,1111,0,0,1,1,1,0
54,151,1111,0,0,1,1,1,0
55,151,1111,0,0,1,1,1,0
56,151,1111,0,0,1,1,1,0
57,151,1111,0,0,1,1,1,0
58,151,1111,0,0,1,1,1,0
59,151,1111,0,0,1,1,1,0
60,151,1111,0,0,1,1,1,0
61,151,1111,0,0,1,1,1,0
62,151,1111,0,0,1,1,1,0
63,151,1111,0,0,1,1,1,0
64,151,1111,0,0,1,1,1,0
65,151,1111,0,0,1,1,1,0
66,151,1111,0,0,1,1,1,0
67,151,1111,0,0,1,1,1,0
68,151,1111,0,0,1,1,1,0
