Threshold,TP,FP,TN,FN,TPR,FPR,Sensitivity,Specificity
50,147,191,920,4,0.973510,0.171917,0.973510,0.828083
51,147,191,920,4,0.973510,0.171917,0.973510,0.828083
52,147,191,920,4,0.973510,0.171917,0.973510,0.828083
53,147,191,920,4,0.973510,0.171917,0.973510,0.828083
54,147,191,920,4,0.973510,0.171917,0.973510,0.828083
55,147,191,920,4,0.973510,0.171917,0.973510,0.828083
56,147,191,920,4,0.973510,0.171917,0.973510,0.828083
57,147,191,920,4,0.973510,0.171917,0.973510,0.828083
58,147,191,920,4,0.973510,0.171917,0.973510,0.828083
59,147,191,920,4,0.973510,0.171917,0.973510,0.828083
60,147,191,920,4,0.973510,0.171917,0.973510,0.828083
61,147,191,920,4,0.973510,0.171917,0.973510,0.828083
62,147,191,920,4,0.973510,0.171917,0.973510,0.828083
63,147,191,920,4,0.973510,0.171917,0.973510,0.828083
64,147,191,920,4,0.973510,0.171917,0.973510,0.828083
65,147,191,920,4,0.973510,0.171917,0.973510,0.828083
66,147,191,920,4,0.973510,0.171917,0.973510,0.828083
67,147,191,920,4,0.973510,0.171917,0.973510,0.828083
68,147,191,920,4,0.973510,0.171917,0.973510,0.828083
69,147,191,920,4,0.973510,0.171917,0.973510,0.828083
70,147,191,920,4,0.973510,0.171917,0.973510,0.828083
71,147,191,920,4,0.973510,0.171917,0.973510,0.828083
72,147,191,920,4,0.973510,0.171917,0.973510,0.828083
73,147,191,920,4,0.973510,0.171917,0.973510,0.828083
74,147,191,920,4,0.973510,0.171917,0.973510,0.828083
75,147,191,920,4,0.973510,0.171917,0.973510,0.828083
76,147,191,920,4,0.973510,0.171917,0.973510,0.828083
77,147,191,920,4,0.973510,0.171917,0.973510,0.828083
78,147,191,920,4,0.973510,0.171917,0.973510,0.828083
79,147,191,920,4,0.973510,0.171917,0.973510,0.828083
80,147,191,920,4,0.973510,0.171917,0.973510,0.828083
81,147,191,920,4,0.973510,0.171917,0.973510,0.828083
82,147,191,920,4,0.973510,0.171917,0.973510,0.828083
83,147,191,920,4,0.973510,0.171917,0.973510,0.828083
84,147,191,920,4,0.973510,0.171917,0.973510,0.828083
