Start Time,End Time,Start Point,End Point,X-Linear distance,Y-Linear distance,Z-Linear distance,Pitch,Roll,Yaw
0.75,2.70,14.000000,53.000000,0.342425,-0.272335,0.228214,-0.016209,-0.003073,-0.025743
5.45,7.25,108.000000,144.000000,0.088445,0.576679,0.191192,0.001704,-0.023567,0.022578
10.25,12.00,204.000000,239.000000,-0.203301,0.099046,0.193863,-0.002424,-0.014783,-0.026046
14.25,16.45,284.000000,328.000000,0.650188,-0.024251,0.311491,-0.003550,0.002754,0.042411
18.80,20.70,375.000000,413.000000,0.781269,-0.271971,-0.199095,0.160648,0.101857,-0.077571
20.85,24.65,416.000000,492.000000,10.451203,-9.012105,2.597456,-0.174710,-0.138076,0.055656
31.00,33.70,619.000000,673.000000,-0.221626,-0.147999,0.409760,0.046144,0.002978,1.566631
37.05,38.90,740.000000,777.000000,-0.134813,0.142142,0.107495,-0.002428,-0.011196,-1.540534
42.60,45.40,851.000000,907.000000,-1.694900,-17.609631,13.953979,1.593480,-0.088260,-0.071506
45.45,45.75,908.000000,914.000000,-0.023106,-0.593934,0.615324,-0.005892,0.000835,-0.001203
45.95,49.80,918.000000,995.000000,-2.810081,-70.625832,69.744965,-1.569487,0.054527,0.051113
52.70,54.45,1053.000000,1088.000000,3.332938,-0.024457,1.867674,0.002733,1.690927,-0.074112
57.95,59.80,1158.000000,1195.000000,15.337730,-0.021447,14.007345,-0.037757,-1.606583,0.045568
