Time,acc_x,acc_y,acc_z,Pitch,Roll,Yaw
0.050000,0.000003,0.000003,0.000003,0.000038,0.000017,0.000008,
0.100000,0.000002,0.000004,0.000003,0.000040,0.000061,0.000022,
0.150000,0.000002,0.000002,0.000003,0.000039,0.000060,0.000023,
0.200000,0.000002,0.000003,0.000003,0.000038,0.000064,0.000026,
0.250000,0.000002,0.000006,0.000004,0.000028,0.000064,0.000026,
0.300000,0.000001,0.000006,0.000003,0.000020,0.000065,0.000028,
0.350000,0.000001,0.000006,0.000004,0.000020,0.000059,0.000029,
0.400000,0.000002,0.000006,0.000004,0.000109,0.000246,0.000029,
0.450000,0.000002,0.000010,0.000004,0.000141,0.000389,0.000030,
0.500000,0.000003,0.000013,0.000005,0.000139,0.000530,0.000030,
0.550000,0.000008,0.000015,0.000004,0.000142,0.000497,0.000033,
0.600000,0.000012,0.000012,0.000005,0.000149,0.000506,0.000032,
0.650000,0.000011,0.000011,0.000005,0.000295,0.000587,0.000086,
0.700000,0.000035,0.000063,0.000006,0.000290,0.000591,0.000126,
0.750000,0.000055,0.000987,0.000004,0.000297,0.000567,0.000842,
0.800000,0.000056,0.002597,0.000004,0.000310,0.000553,0.004166,
0.850000,0.000060,0.003250,0.000004,0.000308,0.000537,0.004918,
0.900000,0.000276,0.003508,0.000005,0.000242,0.000450,0.005024,
0.950000,0.000357,0.003302,0.000005,0.000212,0.000360,0.008205,
1.000000,0.000400,0.003128,0.000005,0.000211,0.000384,0.015224,
1.050000,0.000396,0.002791,0.000005,0.000365,0.000390,0.017314,
1.100000,0.000432,0.002806,0.000004,0.000887,0.000498,0.018006,
1.150000,0.000818,0.003495,0.000005,0.000921,0.000397,0.019570,
1.200000,0.000873,0.004821,0.000005,0.001036,0.000384,0.019873,
1.250000,0.001517,0.004803,0.000005,0.001345,0.001069,0.018664,
1.300000,0.001523,0.003886,0.000005,0.001592,0.001150,0.028504,
1.350000,0.002897,0.003112,0.000006,0.002034,0.001227,0.030626,
1.400000,0.002881,0.003085,0.000005,0.001874,0.001205,0.034228,
1.450000,0.002757,0.002450,0.000006,0.002024,0.001284,0.033435,
1.500000,0.003202,0.002438,0.000004,0.001974,0.001032,0.028653,
1.550000,0.003593,0.002302,0.000004,0.001977,0.001101,0.026522,
1.600000,0.004119,0.002738,0.000004,0.002253,0.000900,0.025687,
1.650000,0.003784,0.003602,0.000005,0.002143,0.000789,0.031364,
1.700000,0.003742,0.003628,0.000006,0.001896,0.000789,0.036965,
1.750000,0.003171,0.003091,0.000011,0.001759,0.000390,0.046602,
1.800000,0.003178,0.002863,0.000012,0.001579,0.000410,0.028350,
1.850000,0.001825,0.002545,0.000011,0.000977,0.000239,0.019726,
1.900000,0.001761,0.003022,0.000011,0.001079,0.000240,0.018255,
1.950000,0.001756,0.002349,0.000010,0.001098,0.000210,0.016782,
2.000000,0.001179,0.001358,0.000009,0.000918,0.000218,0.017338,
2.050000,0.000862,0.001434,0.000010,0.000995,0.000063,0.019512,
2.100000,0.000298,0.002451,0.000011,0.000411,0.000071,0.020417,
2.150000,0.000274,0.002411,0.000010,0.001496,0.000370,0.025168,
2.200000,0.000189,0.002847,0.000008,0.001470,0.000417,0.020630,
2.250000,0.000081,0.002588,0.000005,0.001453,0.000435,0.008768,
2.300000,0.000082,0.002674,0.000004,0.001384,0.000416,0.008784,
2.350000,0.000081,0.002257,0.000006,0.001344,0.000418,0.005807,
2.400000,0.000021,0.001148,0.000006,0.001156,0.000439,0.005496,
2.450000,0.000021,0.000446,0.000006,0.001026,0.000453,0.004843,
2.500000,0.000019,0.000330,0.000005,0.001023,0.000452,0.004799,
2.550000,0.000018,0.000316,0.000008,0.000867,0.000454,0.004710,
2.600000,0.000011,0.000266,0.000015,0.000816,0.000452,0.004738,
2.650000,0.000010,0.000003,0.000016,0.000025,0.000024,0.000010,
2.700000,0.000004,0.000002,0.000015,0.000025,0.000020,0.000012,
2.750000,0.000004,0.000002,0.000013,0.000019,0.000020,0.000015,
2.800000,0.000003,0.000001,0.000013,0.000015,0.000020,0.000016,
2.850000,0.000004,0.000001,0.000013,0.000016,0.000020,0.000023,
2.900000,0.000004,0.000001,0.000013,0.000026,0.000023,0.000021,
2.950000,0.000004,0.000001,0.000013,0.000029,0.000028,0.000027,
3.000000,0.000004,0.000001,0.000013,0.000027,0.000028,0.000027,
3.050000,0.000003,0.000001,0.000010,0.000027,0.000033,0.000026,
3.100000,0.000004,0.000002,0.000006,0.000021,0.000053,0.000024,
3.150000,0.000002,0.000003,0.000005,0.000025,0.000048,0.000028,
3.200000,0.000002,0.000003,0.000005,0.000026,0.000049,0.000026,
3.250000,0.000003,0.000003,0.000005,0.000031,0.000055,0.000023,
3.300000,0.000004,0.000003,0.000006,0.000034,0.000057,0.000024,
3.350000,0.000003,0.000005,0.000004,0.000032,0.000063,0.000019,
3.400000,0.000002,0.000005,0.000004,0.000026,0.000053,0.000018,
3.450000,0.000002,0.000006,0.000004,0.000046,0.000081,0.000020,
3.500000,0.000002,0.000006,0.000005,0.000049,0.000081,0.000020,
3.550000,0.000002,0.000005,0.000006,0.000049,0.000077,0.000020,
3.600000,0.000003,0.000004,0.000011,0.000048,0.000051,0.000019,
3.650000,0.000002,0.000003,0.000012,0.000033,0.000050,0.000015,
3.700000,0.000003,0.000004,0.000011,0.000033,0.000051,0.000015,
3.750000,0.000003,0.000004,0.000012,0.000019,0.000049,0.000013,
3.800000,0.000003,0.000004,0.000011,0.000028,0.000048,0.000015,
3.850000,0.000003,0.000002,0.000010,0.000032,0.000037,0.000014,
3.900000,0.000003,0.000002,0.000009,0.000033,0.000039,0.000016,
3.950000,0.000003,0.000001,0.000009,0.000018,0.000016,0.000008,
4.000000,0.000003,0.000002,0.000010,0.000012,0.000025,0.000009,
4.050000,0.000004,0.000002,0.000008,0.000013,0.000026,0.000012,
4.100000,0.000004,0.000002,0.000004,0.000016,0.000026,0.000011,
4.150000,0.000005,0.000002,0.000004,0.000016,0.000029,0.000012,
4.200000,0.000005,0.000002,0.000004,0.000016,0.000032,0.000013,
4.250000,0.000006,0.000003,0.000003,0.000024,0.000037,0.000014,
4.300000,0.000005,0.000004,0.000003,0.000017,0.000042,0.000012,
4.350000,0.000005,0.000004,0.000003,0.000015,0.000044,0.000010,
4.400000,0.000005,0.000004,0.000005,0.000016,0.000041,0.000022,
4.450000,0.000005,0.000004,0.000005,0.000015,0.000036,0.000022,
4.500000,0.000005,0.000003,0.000004,0.000013,0.000028,0.000026,
4.550000,0.000003,0.000004,0.000004,0.000013,0.000031,0.000025,
4.600000,0.000003,0.000005,0.000004,0.000014,0.000031,0.000027,
4.650000,0.000003,0.000005,0.000005,0.000014,0.000028,0.000030,
4.700000,0.000003,0.000004,0.000005,0.000013,0.000026,0.000030,
4.750000,0.000002,0.000004,0.000005,0.000013,0.000033,0.000033,
4.800000,0.000002,0.000003,0.000005,0.000013,0.000025,0.000033,
4.850000,0.000003,0.000003,0.000006,0.000009,0.000043,0.000034,
4.900000,0.000003,0.000003,0.000004,0.000010,0.000048,0.000015,
4.950000,0.000003,0.000004,0.000004,0.000013,0.000048,0.000017,
5.000000,0.000004,0.000004,0.000004,0.000013,0.000048,0.000018,
5.050000,0.000004,0.000004,0.000004,0.000014,0.000048,0.000024,
5.100000,0.000004,0.000004,0.000005,0.000021,0.000049,0.000022,
5.150000,0.000003,0.000003,0.000004,0.000021,0.000061,0.000017,
5.200000,0.000006,0.000003,0.000004,0.000022,0.000059,0.000016,
5.250000,0.000006,0.000003,0.000004,0.000015,0.000046,0.000016,
5.300000,0.000006,0.000002,0.000004,0.000014,0.000046,0.000013,
5.350000,0.000006,0.000002,0.000005,0.000267,0.000041,0.000042,
5.400000,0.000005,0.000002,0.000005,0.000295,0.000035,0.000043,
5.450000,0.000040,0.000543,0.000005,0.000297,0.000109,0.000146,
5.500000,0.000156,0.003058,0.000005,0.000300,0.000155,0.000534,
5.550000,0.000396,0.005751,0.000006,0.000309,0.000212,0.005451,
5.600000,0.000673,0.005707,0.000004,0.000307,0.000241,0.005442,
5.650000,0.001191,0.005356,0.000004,0.000526,0.000377,0.006002,
5.700000,0.002683,0.005319,0.000004,0.000528,0.000382,0.009424,
5.750000,0.002779,0.004851,0.000005,0.000922,0.000374,0.009744,
5.800000,0.003329,0.004182,0.000006,0.000971,0.000370,0.014645,
5.850000,0.004588,0.003347,0.000011,0.000719,0.000473,0.016601,
5.900000,0.004578,0.002328,0.000011,0.000888,0.000486,0.020456,
5.950000,0.004429,0.003342,0.000012,0.001046,0.001838,0.025655,
6.000000,0.004991,0.003859,0.000012,0.001336,0.001939,0.030058,
6.050000,0.005002,0.003732,0.000011,0.001464,0.001843,0.027652,
6.100000,0.005503,0.003559,0.000011,0.001476,0.002007,0.028182,
6.150000,0.004699,0.004258,0.000011,0.001686,0.001756,0.027267,
6.200000,0.003503,0.003416,0.000012,0.001752,0.002352,0.027348,
6.250000,0.003438,0.003800,0.000012,0.001263,0.002355,0.025933,
6.300000,0.002755,0.003663,0.000010,0.001378,0.002579,0.016447,
6.350000,0.001614,0.003030,0.000005,0.001414,0.002514,0.019532,
6.400000,0.001650,0.001479,0.000006,0.001589,0.002531,0.019029,
6.450000,0.001668,0.001512,0.000004,0.001261,0.001892,0.022403,
6.500000,0.000953,0.003356,0.000004,0.000682,0.001965,0.027934,
6.550000,0.000984,0.009461,0.000004,0.000682,0.001976,0.031315,
6.600000,0.000524,0.009744,0.000005,0.000900,0.001753,0.037624,
6.650000,0.000559,0.009729,0.000006,0.001096,0.001756,0.038710,
6.700000,0.000586,0.008216,0.000011,0.001077,0.001678,0.038538,
6.750000,0.000591,0.008710,0.000012,0.001088,0.001667,0.036928,
6.800000,0.000524,0.008990,0.000011,0.001100,0.001309,0.030110,
6.850000,0.000526,0.009403,0.000012,0.001103,0.001495,0.014904,
6.900000,0.000467,0.009535,0.000011,0.000870,0.001611,0.010774,
6.950000,0.000436,0.009897,0.000010,0.000869,0.001176,0.012025,
7.000000,0.000171,0.009165,0.000011,0.000665,0.001110,0.010815,
7.050000,0.000149,0.002821,0.000011,0.000630,0.001161,0.009431,
7.100000,0.000091,0.000196,0.000011,0.000532,0.001203,0.005413,
7.150000,0.000050,0.000013,0.000008,0.000295,0.001240,0.002196,
7.200000,0.000008,0.000004,0.000005,0.000021,0.000192,0.000027,
7.250000,0.000002,0.000004,0.000005,0.000019,0.000043,0.000023,
7.300000,0.000004,0.000004,0.000005,0.000019,0.000042,0.000023,
7.350000,0.000003,0.000004,0.000005,0.000016,0.000038,0.000023,
